Artikelid,Namn,Namn2,Varugrupp,Varnummer,Prisinklmoms,Ursprung,Producent,Argang,Alkoholhalt,Typ,RavarorBeskrivning
860554,Antica Cascina dei Conti di Roero,Brut,Mousserande vin,77095,221.0,,Antica Cascina dei Cinti di Roero,2011.0,12.50%,Vitt Torrt,
860575,Special Club,Grand Cru,Mousserande vin,77520,499.0,Champagne,Paul Bara,2004.0,12.00%,Vitt Torrt,
860670,Moscato d'Asti,Rinaldi,Vitt vin,78204,99.0,Piemonte,Rinaldi Vini,2014.0,6.00%,Sott,
8607,Penfolds Koonunga Hill,Shiraz Cabernet,Rott vin,6253,99.0,South Eastern Australia,Penfolds,2016.0,14.50%,Fruktigt & Smakrikt,Shiraz och cabernet sauvignon.
860934,Manifesto,Nero d'Avola,Rott vin,2680,79.0,Sicilien,Nordic Sea Winery,2016.0,14.50%,Fruktigt & Smakrikt,85% nero d'avola och 15% cabernet sauvignon.
8623835,Domaine du Grand Mayne,Moelleux,Vitt vin,79590,169.0,Frankrike sydvast,Domaine Grand Mayne,2012.0,13.00%,Sott,
8623844,Gallimard Pere & Fils,Cuvee De Reserve Brut,Mousserande vin,79215,296.0,Champagne,Gallimard Pere & Fils,,12.00%,Vitt Torrt,
862417,Gran Maestro,Appassimento,Rott vin,78236,75.0,Apulien,Maestro Italiano S.p.A,2015.0,14.50%,Fruktigt & Smakrikt,
8624204,Dirler-Cade,Brut Nature,Mousserande vin,76455,196.0,Alsace,Dirler-Cade,2014.0,12.50%,Vitt Torrt,
8624244,Brocard Pierre,Contree Noire Extra Brut,Mousserande vin,78668,329.0,Champagne,Pierre Brocard,2008.0,12.00%,Vitt Torrt,
8624272,Masi,Angelorum Recioto,Rott vin,72068,178.0,Venetien,Masi Agricola Spa,2014.0,14.00%,Sott,
8624273,Bernard Robert,Reserve,Mousserande vin,79921,199.0,Champagne,Bernard Robert,,12.00%,Vitt Torrt,
8624282,Egerie de Pannier,Extra Brut,Mousserande vin,77562,499.0,Champagne,Pannier,2000.0,12.00%,Vitt Torrt,
8624290,Riva Di Franciacorta,Brut Satèn,Mousserande vin,79696,267.0,Lombardiet,Riva Di Franciacorta,,12.00%,Vitt Torrt,
8624292,Riva di Franciacorta,Brut,Mousserande vin,77968,236.0,Lombardiet,Riva Di Franciacorta,2016.0,12.00%,Vitt Torrt,
863226,Zensa,Nero d'Avola,Rott vin,71786,89.0,Sicilien,Orion Wines,2015.0,13.50%,Fruktigt & Smakrikt,Nero d'avola.
863963,Olivia,Brut Nature Reserva,Mousserande vin,77169,199.0,Cava,Castell d'Age,,12.00%,Vitt Torrt,
863997,Cattier,Brut Absolu,Mousserande vin,77115,377.0,Champagne,Champagne Cattier,,12.50%,Vitt Torrt,
864072,Lanson,White Label Sec,Mousserande vin,77240,389.0,Champagne,Lanson,,12.50%,Vitt Halvtorrt,
