Artikelid,Namn,Namn2,Varugrupp,Varnummer,Prisinklmoms,Ursprung,Producent,Argang,Alkoholhalt,Typ,RavarorBeskrivning
1000080,Canella,Valdobbiadene Prosecco Superiore Extra Dry,Mousserande vin,77747,147.0,Venetien,Canella SpA,2014.0,11.00%,Vitt Torrt,
1000083,Viña Soledad,Tête de Cuvee Reserva,Vitt vin,75639,159.0,Rioja,Bodegas Franco-Españolas,2006.0,12.00%,Fylligt & Smakrikt,Viura.
1000178,Canella,Bellini,Mousserande vin,77857,133.0,,Canella SpA,,5.00%,ovrigt,
1002712,Huntyard,Organic Appassimento,Rott vin,71245,89.0,Apulien,Cantinetta Vini,2016.0,14.50%,Kryddigt & Mustigt,
1003352,Delamotte,Blanc de Blancs Brut,Mousserande vin,77011,619.0,Champagne,Delamotte,2007.0,12.00%,Vitt Torrt,
1003771,Giró i Giró,Bombonetta Gran Reserva Brut,Mousserande vin,77591,230.0,Cava,Jaume Giró i Giró,2011.0,11.50%,Vitt Torrt,
1004436,Escada,Touriga Nacional,Rott vin,72492,89.0,Lisboa,DFJ Vinhos,2016.0,13.00%,Fruktigt & Smakrikt,
1004483,Ruppertsberger,Riesling Auslese,Vitt vin,72896,89.0,Pfalz,Ruppertsberger Weinkeller Hoheburg eG,2014.0,8.50%,Sott,
1004489,Apothic Red,Winemaker's Blend,Rott vin,6420,269.0,Kalifornien,Apothic Wines,2015.0,13.50%,Fruktigt & Smakrikt,
1004547,Bacio della Luna,Prosecco Superiore Brut,Mousserande vin,2332,109.0,Venetien,Bacio della Luna,2016.0,11.00%,Vitt Torrt,Glera.
1004847,958 Santero,Cuvèe Extra Dry,Mousserande vin,77659,119.0,,Santero,,11.50%,Vitt Torrt,
1005524,Barbera del Monferrato,Livio Pavese,Rott vin,74960,109.0,Piemonte,Livio Pavese,2011.0,13.50%,Kryddigt & Mustigt,Barbera.
1006260,Saint-Aubin Vieilles Vignes,Domaine Roux,Vitt vin,5569,229.0,Bourgogne,Domaine Roux,2016.0,13.00%,Fylligt & Smakrikt,Chardonnay.
1006280,Saint-Aubin Vieilles Vignes,Domaine Roux,Vitt vin,5569,120.0,Bourgogne,Domaine Roux,2016.0,13.00%,Fylligt & Smakrikt,Chardonnay.
1006372,Château La Bourree,,Rott vin,3065,95.0,Bordeaux,Vignobles Meynard,2016.0,14.00%,Fruktigt & Smakrikt,70% merlot och 30% cabernet franc.
1007535,Cigarra Gran Passo,Touriga Nacional Cabernet Sauvignon,Rott vin,75998,89.0,Lisboa,Casa Santos Lima,2015.0,14.00%,Fruktigt & Smakrikt,Touriga nacional och cabernet sauvignon.
1007578,Sancerre Les Roches,Domaine Vacheron,Vitt vin,5514,209.0,Loiredalen,Domaine Vacheron,2016.0,12.50%,Friskt & Fruktigt,Sauvignon blanc.
1007992,Jean-Louis Denois,Extra Brut Chardonnay,Mousserande vin,73225,171.0,,Jean-Louis Denois,,12.50%,Vitt Torrt,
1007995,Brimoncourt,Extra Brut,Mousserande vin,77680,497.0,Champagne,Brimoncourt,,12.50%,Vitt Torrt,
1008008,Pineto,Brachetto D'Acqui,Rott vin,70808,180.0,Piemonte,Casa Vinicola Marenco,2014.0,5.50%,Sott,
1008017,Frassinelli,Valdobbiadene Prosecco Superiore Millesimato,Mousserande vin,77758,151.0,Venetien,Azienda Agricola Frassinelli,2014.0,11.50%,Vitt Torrt,
1008038,Pierre Peters,L'Esprit Blanc de Blancs,Mousserande vin,77964,449.0,Champagne,Pierre Peters,2009.0,12.00%,Vitt Torrt,
1008041,Bombshell,Zinfandel,Rott vin,72676,89.0,Apulien,Agricole Rizello Spa,2015.0,14.00%,Fruktigt & Smakrikt,
1008050,Dentelles & Crinolines,Extra Brut,Mousserande vin,77671,349.0,Champagne,Pierre Brigandat & Fils,2009.0,12.00%,Vitt Torrt,
1008061,Castelmare,Amarone della Valpolicella Classico,Rott vin,75707,164.0,Venetien,Cantina Valpolicella Negrar,2014.0,15.00%,Kryddigt & Mustigt,
1008421,Avinyó,Blanc de Noirs Cava Brut Nature Reserva,Mousserande vin,77509,184.0,Cava,Avinyó,,11.50%,Vitt Torrt,
1008921,Mizzon,Passito Bianco,Vitt vin,79322,299.0,Venetien,Mizzon di Perusi Nicola,2012.0,14.00%,Sott,
1009158,DG Viticultors,Cava Brut Reserva Chardonnay,Mousserande vin,77352,171.0,Cava,DG Viticultors,2012.0,12.50%,Vitt Torrt,
1009797,Barolo,Villaforte,Rott vin,76420,179.0,Piemonte,Mare Magnum,2012.0,14.50%,Stramt & Nyanserat,Nebbiolo.
1010726,Ranas Slott,Ricossa Piemonte Barbera,Rott vin,75491,139.0,Piemonte,MGM Mondo del Vino,2014.0,13.50%,Mjukt & Barigt,Barbera.
1010813,Ranas Slott,Ricossa Roero Arneis,Vitt vin,75613,129.0,Piemonte,MGM Mondo del Vino,2014.0,13.00%,Friskt & Fruktigt,Arneis.
1011573,Oinoz,Prestigio,Rott vin,2771,119.0,Castilla y León,Agricultura y Bodega Renacimiento SL,2007.0,15.00%,Kryddigt & Mustigt,Tempranillo.
1011618,Portal Del Alto,Syrah Tardio Late Harvest,Rott vin,74983,147.0,,Viña Portal del Alto,2014.0,13.50%,Sott,
1011715,Portal Del Alto,Late Harvest Moscatel Viognier,Vitt vin,74466,132.0,,Viña Portal del Alto,2014.0,13.50%,Sott,
1011718,Dream Line,Mix Forpackning,Mousserande vin,77062,810.0,,Espadafor,,8.00%,ovrigt,
1012612,Misal,Prestige Extra Brut,Mousserande vin,77684,249.0,Istra,Dordano Persuric,,12.00%,Vitt Torrt,
1013215,Amicone,,Rott vin,74325,309.0,Venetien,Cantine di Ora,2014.0,14.50%,Fruktigt & Smakrikt,
1013551,Oldenburg Vineyards,Syrah,Rott vin,2008,189.0,Western Cape,Oldenburg Vineyards,2013.0,14.50%,Kryddigt & Mustigt,Syrah.
1013561,Stoneleigh,Brut Cuvee,Mousserande vin,7912,109.0,,Stoneleigh Vineyards,,12.50%,Vitt Torrt,Chardonnay och pinot noir.
1014029,Doyard Mahe,Carte d'Or Premier Cru Blanc de Blancs Brut,Mousserande vin,77989,447.0,Champagne,Doyard-Mahe,,12.00%,Vitt Torrt,
1014080,Doyard Mahe,Cuvee Desir Blanc de Blancs Extra Brut,Mousserande vin,77647,497.0,Champagne,Doyard-Mahe,,12.00%,Vitt Torrt,
1014086,Doyard Mahe,Millesime Blanc de Blancs Extra Brut,Mousserande vin,77653,546.0,Champagne,Doyard-Mahe,2010.0,12.00%,Vitt Torrt,
1014089,Doyard Mahe,Millesime Premier Cru Blanc de Blancs Brut,Mousserande vin,77879,595.0,Champagne,Doyard-Mahe,2009.0,12.00%,Vitt Torrt,
1014285,Zola,Chenin Blanc Chardonnay Sauvignon Blanc,Vitt vin,2549,189.0,Western Cape,Du Toitskloof Cellar,2017.0,13.00%,Friskt & Fruktigt,"50% chenin blanc, 35% chardonnay och 15% sauvignon blanc."
1014330,Brancott Estate,Organic Living Land Pinot Gris,Vitt vin,6323,99.0,Marlborough,Brancott Estate,2016.0,13.50%,Druvigt & Blommigt,Pinot gris.
1014342,Ata Rangi,Crimson Pinot Noir,Rott vin,6328,151.0,Wellington N Z,Ata Rangi,2014.0,14.00%,Kryddigt & Mustigt,Pinot noir.
1014357,Duval Leroy,Brut Reserve,Mousserande vin,77955,349.0,Champagne,Duval-Leroy,2014.0,12.00%,Vitt Torrt,
1014360,Duval Leroy,Femme de Champagne Grand Cru,Mousserande vin,77019,999.0,Champagne,Duval-Leroy,2000.0,12.50%,Vitt Torrt,
1014609,Frassinelli,Conegliano Valdobbiadene Prosecco Superiore Extra Dry,Mousserande vin,77244,157.0,Venetien,Azienda Agricola Frassinelli,,11.00%,Vitt Torrt,
1015215,Clairette de Die,David Bautin Methode Ancestrale,Mousserande vin,77629,148.0,Rhonedalen,David Bautin,,8.50%,Vitt Sott,
1016917,Famiglia Pasqua Prosecco,Romeo&Juliet Brut,Mousserande vin,77667,95.0,Venetien,Pasqua,,11.00%,Vitt Torrt,
1016923,Pasqua Prosecco,Extra Dry,Mousserande vin,77462,39.0,Venetien,Pasqua,,11.00%,Vitt Torrt,
1016976,Cava Vega,Medien Organic Brut,Mousserande vin,75973,98.0,Cava,Segura Viudas,,11.50%,Vitt Torrt,
1017303,Taittinger,Comtes de Champagne Brut Blanc de Blancs,Mousserande vin,75978,1350.0,Champagne,Taittinger,2006.0,12.50%,Vitt Torrt,
1017321,Francois Montand,,Mousserande vin,77586,89.0,,Francois Montand,,11.50%,Vitt Torrt,Chardonnay.
1017561,Palmer,Blanc de Noirs,Mousserande vin,75799,349.0,Champagne,Palmer & Co,,12.00%,Vitt Torrt,
1017737,Cremant de Bourgogne,Baron Aime,Mousserande vin,77791,135.0,Bourgogne,Baron Aime,,12.00%,Vitt Torrt,
1018386,Egly-Ouriet,Grand Cru Brut Rose,Mousserande vin,77773,775.0,Champagne,Egly-Ouriet,,12.50%,Rose,
1018389,Caillez Lemaire,Eclats Brut,Mousserande vin,77553,337.0,Champagne,Caillez-Lemaire,,12.00%,Vitt Torrt,
1018402,Egly-Ouriet,Grand Cru VP Extra Brut,Mousserande vin,77552,775.0,Champagne,Egly-Ouriet,,12.50%,Vitt Torrt,
1018418,Egly-Ouriet,Brut Tradition Grand Cru,Mousserande vin,77565,589.0,Champagne,Egly-Ouriet,,12.50%,Vitt Torrt,
1018680,Gancia,Prosecco Brut,Mousserande vin,7879,31.0,Venetien,F.LLI GANCIA & C SpA,,11.50%,Vitt Torrt,
1018906,Verdling,Dulce Verdejo,Vitt vin,72777,268.0,Castilla y León,Ossian Vides y Vinos S.L.,2012.0,7.00%,Sott,
1018968,Giró del Gorner,Gran Reserva Brut,Mousserande vin,77119,200.0,Cava,Giró del Gorner,2007.0,12.00%,Vitt Torrt,
1018971,Giró del Gorner,Gran Reserva Brut Nature,Mousserande vin,77610,200.0,Cava,Giró del Gorner,2007.0,12.00%,Vitt Torrt,
1018980,Rock'n'Roll by Brolle,Cava Brut Reserva,Mousserande vin,77108,177.0,Cava,Giró del Gorner,,12.00%,Vitt Torrt,
1018995,Menger-Krug,Methode Rurale Brut Chardonnay,Mousserande vin,77559,299.0,,Menger-Krug,2012.0,11.50%,Vitt Torrt,
1019008,Huguet,Gran Reserva Brut Nature,Mousserande vin,77669,200.0,Cava,Huguet de Can Feixes,2008.0,12.50%,Vitt Torrt,
1019014,Giró del Gorner,Reserva Brut,Mousserande vin,77670,166.0,Cava,Giró del Gorner,,12.00%,Vitt Torrt,
1019737,Dusk til Dawn,Chardonnay,Vitt vin,6287,99.0,South Australia,Zonte's Footstep,2015.0,13.00%,Fylligt & Smakrikt,Chardonnay.
1019806,Jacob's Creek,Reserve Shiraz Cabernet Sauvignon,Rott vin,6418,99.0,South Australia,Jacob's Creek Wines,2016.0,14.50%,Fruktigt & Smakrikt,Cabernet sauvignon och shiraz.
1019818,Cosa Dolce,Gewürztraminer Riesling,Vitt vin,6217,75.0,South Eastern Australia,De Bortoli,2016.0,12.50%,Druvigt & Blommigt,Gewürztraminer och riesling.
1019846,Santa Ana,Reserve Malbec,Rott vin,6562,59.0,Cuyo,Bodegas Santa Ana,2015.0,13.50%,Fruktigt & Smakrikt,Malbec.
1020256,Gosset,Celebris Rose,Mousserande vin,77264,1179.0,Champagne,Gosset,2007.0,12.00%,Rose,
1020292,Gosset,Petite Douceur Rose,Mousserande vin,77980,497.0,Champagne,Gosset,,12.00%,Rose,
1020801,Villa Valentina,Sangiovese,Rott vin,76598,89.0,Apulien,Villa Valentina,2016.0,13.00%,Fruktigt & Smakrikt,Sangiovese.
1021015,¿Que Pasa?,Merlot Organico Reserva,Rott vin,2246,49.0,Valle Central,WineWorld AB,2016.0,13.50%,Fruktigt & Smakrikt,Merlot.
1022557,Mia,Pink Moscato,Mousserande vin,77915,76.0,,Freixenet,,7.00%,Rose,
1022772,Mathelin,Extra Brut,Mousserande vin,77394,378.0,Champagne,Champagne Mathelin,,12.00%,Vitt Torrt,
1023026,Beaumont des Crayères,Grand Rose,Mousserande vin,76764,270.0,Champagne,Beaumont des Crayères,,12.00%,Rose,
1023035,Amarone della Valpolicella Classico,,Rott vin,2740,95.0,Venetien,Luigi Righetti,2013.0,15.00%,Kryddigt & Mustigt,
1023178,Howard Park,Porongurup Riesling,Vitt vin,91190,191.0,Western Australia,Howard Park Wines,2015.0,12.00%,Friskt & Fruktigt,Riesling.
1023308,Adobe,Sauvignon Blanc,Vitt vin,2759,79.0,Aconcagua,Viñedos Emiliana,2017.0,12.50%,Friskt & Fruktigt,Sauvignon blanc.
1023322,Petit Chablis,Vibrant,Vitt vin,5585,82.0,Bourgogne,La Chablisienne,2016.0,12.50%,Friskt & Fruktigt,Chardonnay.
1023335,Besserat de Bellefon,Cuvee des Moines Blanc de Blancs Brut,Mousserande vin,77589,489.0,Champagne,Besserat de Bellefon,,12.50%,Vitt Torrt,
1023397,Aquilam Ventus,,Vitt vin,75949,150.0,Tokaj-Hegyalja,Château Cloche,2013.0,11.50%,Sott,
1023468,Recioto della Valpolicella Classico,Corteforte,Rott vin,79438,378.0,Venetien,Corteforte,2013.0,13.50%,Sott,
1023667,Dimension,Chardonnay,Vitt vin,5006,79.0,Western Cape,Du Toitskloof Cellar,2017.0,13.50%,Fylligt & Smakrikt,Chardonnay.
1024013,Eco Rojo,,Rott vin,2521,69.0,Alicante,Hacienda La Serrata,2016.0,13.50%,Fruktigt & Smakrikt,50% monastrell och 50% syrah.
1024390,Mikkeller Beer Geek,Auslese,Vitt vin,74259,184.0,Mosel,Weingut Meierer,2014.0,7.50%,Sott,
1024940,Viva by Carolina Gynning,Prosecco Extra Dry,Mousserande vin,77339,131.0,Venetien,Gynning Wine,,11.00%,Vitt Torrt,
1025019,Mathelin,Brut Reserve,Mousserande vin,77916,378.0,Champagne,Champagne Mathelin,,12.00%,Vitt Torrt,
1025059,Can Xa,Brut,Mousserande vin,76262,99.0,Cava,Finca Emendis,,11.50%,Vitt Torrt,
1025931,Rigogolo Chianti Riserva,Nettuno,Rott vin,2361,99.0,Toscana,Nettuno,2015.0,13.00%,Kryddigt & Mustigt,"90% sangiovese, 5% canaiolo och 5% cabernet sauvignon."
1026147,Val d'Oca,Valdobbiadene Prosecco Superiore Brut,Mousserande vin,75144,119.0,Venetien,Val d'Oca,2016.0,11.00%,Vitt Torrt,
1026150,Spioenkop,Riesling,Vitt vin,90618,189.0,Western Cape,Spioenkop Wines,2013.0,12.00%,Friskt & Fruktigt,Riesling.
1026925,Ecoltura,Valpolicella,Rott vin,79125,109.0,Venetien,Domaine Wines,2016.0,13.50%,Kryddigt & Mustigt,"50% corvinone, 30% rondinella och 20% corvina."
1026935,Boërl & Kroff,Cuvee Selectionnee Brut,Mousserande vin,77220,47299.0,Champagne,Drappier,1998.0,12.50%,Vitt Torrt,
1027087,Boërl & Kroff,Cuvee Selectionnee Brut Rose,Mousserande vin,77243,46599.0,Champagne,Drappier,,12.50%,Rose,
1027093,B de Boërl & Kroff,Cuvee Selectionnee Brut,Mousserande vin,77418,2999.0,Champagne,Drappier,2005.0,12.50%,Vitt Torrt,
1027299,Gimonnet-Gonet Tusen & en Natt,Grand Cru Brut Blanc de Blancs,Mousserande vin,76279,325.0,Champagne,Gimonnet-Gonet,,12.00%,Vitt Torrt,
1027386,Comte Hugues de La Bourdonnaye,Brut Nature,Mousserande vin,77833,458.0,Champagne,Hugues de La Bourdonnaye,,12.00%,Vitt Torrt,
1027419,Comte Hugues de La Bourdonnaye,Blanc de Blancs Brut Nature,Mousserande vin,77966,487.0,Champagne,Hugues de La Bourdonnaye,,12.00%,Vitt Torrt,
10285596,Amies Amies,Brut,Mousserande vin,77384,99.0,,Veuve Ambal,,12.50%,Vitt Torrt,
10285598,Perfect Day,Bubbles Spumante Cuvee Extra Dry,Mousserande vin,72809,79.0,,Contemporary Wines AB,,11.00%,Vitt Torrt,
10285601,Cartemisia,Prosecco Extra Dry,Mousserande vin,78113,109.0,Venetien,Pizzolo,2016.0,11.00%,Vitt Torrt,
1028718,Black Stallion Napa Valley,Chardonnay,Vitt vin,75360,196.0,Kalifornien,Black Stallion Estate Winery,2015.0,14.50%,Fylligt & Smakrikt,Chardonnay.
1028733,Libamus,,Rott vin,75191,189.0,Castilla y León,Bodegas Godelia,2012.0,15.00%,Sott,
1028743,Recioto Classico,I Castei,Rott vin,74052,219.0,Venetien,Castellani Michele & Figli,2012.0,14.00%,Sott,
10287508,Pere Ventura,Maria del Mar Grand Reserva,Mousserande vin,77155,146.0,Cava,Pere Ventura i Familia,2014.0,11.50%,Vitt Torrt,
1028756,Deutz,Brut Classic,Mousserande vin,7487,855.0,Champagne,Deutz,,12.00%,Vitt Torrt,
1028764,Moletto,Brut Millesimato VSQ,Mousserande vin,77276,127.0,,Moletto,2014.0,13.00%,Vitt Torrt,
1028767,R Dumont,Brut Millesime,Mousserande vin,77501,395.0,Champagne,R. Dumont & Fils,2005.0,12.00%,Vitt Torrt,
1028916,R Dumont,Rose Brut,Mousserande vin,77693,325.0,Champagne,R. Dumont & Fils,,12.00%,Rose,
1029057,AA Laièta,Gran Reserva Brut Nature,Mousserande vin,77734,239.0,Cava,Alta Alella,2012.0,12.00%,Vitt Torrt,
1029147,AA Opus Evolution,Gran Reserva Brut Nature,Mousserande vin,77769,319.0,Cava,Alta Alella,2010.0,12.00%,Vitt Torrt,
1029378,Menger-Krug,Methode Rurale Brut Riesling,Mousserande vin,77456,299.0,,Menger-Krug,2012.0,12.50%,Vitt Torrt,
1029426,Clotilde Davenne,Cremant de Bourgogne Extra Brut,Mousserande vin,77741,299.0,Bourgogne,Clotilde Davenne,,12.50%,Vitt Torrt,
1029837,Clotilde Davenne,Cremant de Bourgogne Extra Brut,Mousserande vin,77741,99.0,Bourgogne,Clotilde Davenne,,12.50%,Vitt Torrt,
1029924,Satobbi,Tokaji Aszú 5 Puttonyos,Vitt vin,79010,279.0,Tokaj-Hegyalja,Dobogó Winery,2003.0,11.50%,Sott,
1030031,Billecart-Salmon,Brut Blanc de Blancs,Mousserande vin,79118,1299.0,Champagne,Billecart-Salmon,2004.0,12.50%,Vitt Torrt,
1030053,Lenoble,Grand Cru Chouilly Blanc de Blancs Brut,Mousserande vin,77109,399.0,Champagne,Lenoble,,12.00%,Vitt Torrt,
1030056,Rose de Saignee,Brocard Pierre,Mousserande vin,77511,329.0,Champagne,Pierre Brocard,,12.00%,Rose,
1030391,Mylitta Tokaj,,Vitt vin,72456,198.0,Tokaj-Hegyalja,Dobogó Winery,2012.0,12.00%,Sott,
1030647,Andre Bergere,Tentation Brut,Mousserande vin,77112,499.0,Champagne,Champagne Andre Bergere,,12.00%,Vitt Torrt,
1030892,Roquette & Cazes,,Rott vin,2553,209.0,Douro,Roquette & Cazes,2012.0,14.50%,Fruktigt & Smakrikt,"60% touriga nacional, 25% touriga franca och 15% tinta roriz."
1030948,Andre Bergere,Rose Brut,Mousserande vin,77068,399.0,Champagne,Champagne Andre Bergere,,12.00%,Rose,
1030975,Andre Bergere Grand Cru,Blanc de Blancs Brut,Mousserande vin,77402,449.0,Champagne,Champagne Andre Bergere,,12.00%,Vitt Torrt,
1031188,Morande Creole,,Rott vin,92130,181.0,Region del Sur,Viña Morande,2015.0,13.00%,Mjukt & Barigt,Cinsault och País.
1031200,Montes Outer Limits,Cinsault,Rott vin,92137,200.0,Region del Sur,Montes,2014.0,14.00%,Mjukt & Barigt,Cinsault.
1031578,Znovín Classic,Sekt Brut,Mousserande vin,77802,143.0,Morava,Znovín Znojmo,,12.00%,Vitt Torrt,
1031649,Znovín Classic,Sekt Demi Sec,Mousserande vin,77644,143.0,Morava,Znovín Znojmo,,12.00%,Vitt Halvtorrt,
1032209,Château la Varière,Cabernet Sauvignon,Rott vin,2122,119.0,Loiredalen,Château la Varière,2015.0,13.50%,Fruktigt & Smakrikt,Cabernet sauvignon.
1032221,Lacourte-Godbillon,Pinot Noir Rose Sec,Mousserande vin,7611,275.0,Champagne,Lacourte Godbillon,,12.00%,Rose,Pinot noir.
1032255,Guldkula White,Grand Cru Blanc de Blancs,Mousserande vin,75248,399.0,Champagne,R & L Legras,,12.00%,Vitt Torrt,
1032267,Guldkula Black,Grand Cru Blanc de Noir,Mousserande vin,75950,499.0,Champagne,Societe de Producteurs,,12.00%,Vitt Torrt,
1032277,Guldkula Pink,Grand Cru Rose,Mousserande vin,75097,499.0,Champagne,Societe de Producteurs,,12.00%,Rose,
1032290,Rully Premier Cru,Les Gresigny,Vitt vin,5613,209.0,Bourgogne,Domaine J. F. Protheau,2016.0,13.00%,Fylligt & Smakrikt,Chardonnay.
1032302,Alva,,Rott vin,2288,79.0,Rhonedalen,Domaine de Calet,2016.0,14.50%,Kryddigt & Mustigt,"Syrah, marselan och mourvèdre."
1032854,In the garden of Epernay,,Mousserande vin,76698,1202.0,Champagne,Champagne Ellner,2005.0,12.00%,Vitt Torrt,
1033059,Skovde Rod,Symphonic d'Oc,Rott vin,71416,91.0,Languedoc-Roussillon,Fontesole,2014.0,13.00%,Fruktigt & Smakrikt,"Merlot, syrah och grenache."
10331,El Coto,Crianza,Rott vin,12670,85.0,Rioja,Bodegas El Coto,2014.0,13.00%,Kryddigt & Mustigt,Tempranillo.
1033354,Cin Cin Chianti,Collezione Lo Cicero By Michael Nyqvist,Rott vin,79119,99.0,Toscana,Sorelle Palazzi,2014.0,13.00%,Kryddigt & Mustigt,"Sangiovese, malvasia nera och canaiolo."
1033372,Moscato d'Asti,,Vitt vin,76227,135.0,Piemonte,Sergio Grimaldi,2015.0,5.00%,Sott,
1033384,Domaine des Pasquiers,Plan de Dieu,Rott vin,2298,119.0,Rhonedalen,Domaine des Pasquiers,2016.0,14.50%,Kryddigt & Mustigt,"60% grenache, 30% syrah och 10% mourvèdre."
1033390,Moscato d´Asti,Ca'du Sindic Riserva,Vitt vin,76928,141.0,Piemonte,Sergio Grimaldi,2015.0,5.00%,Sott,
1033572,Recioto della Valpolicella Classico,Mizzon,Rott vin,75912,299.0,Venetien,Azienda Agricola Mizzon di Perusi Nicola,2014.0,13.50%,Sott,
1034329,Jean Vesselle,Grand Cru Prestige Brut,Mousserande vin,72549,399.0,Champagne,Jean Vesselle,,12.00%,Vitt Torrt,
1034537,Canard Duchêne Charles VII,Blanc de Noirs Brut,Mousserande vin,77620,432.0,Champagne,Champagne Canard-Duchêne,,12.00%,Vitt Torrt,
1034975,Fürst von Metternich,Riesling Sekt Trocken,Mousserande vin,77962,89.0,Rheingau,Fürst von Metternich,,12.50%,Vitt Torrt,Riesling.
1034981,Charles Heidsieck,Rose Vintage,Mousserande vin,99281,793.0,Champagne,Charles Heidsieck,2006.0,12.00%,Rose,
10362316,Hattingley Valley,Blanc de Blancs Brut,Mousserande vin,72357,389.0,England,Hattingley Valley,2010.0,12.00%,Vitt Torrt,
10362317,Domaine Mure,Cremant D'Alsace Brut,Mousserande vin,75006,189.0,Alsace,Domaine Mure,,12.50%,Vitt Torrt,
1037961,Cremant d'Alsace,Riesling Brut,Mousserande vin,76567,149.0,Alsace,Albert Schoech,,12.50%,Vitt Torrt,
1037974,Piemonte,Barbera,Rott vin,72782,99.0,Piemonte,San Silvestro,2016.0,14.00%,Mjukt & Barigt,Barbera.
10389,Penfolds Koonunga Hill,Chardonnay,Vitt vin,6463,89.0,South Australia,Penfolds,2016.0,12.50%,Fylligt & Smakrikt,Chardonnay.
1039754,Acquesi,Rosato,Mousserande vin,70196,89.0,Piemonte,Cuvage Srl,,11.00%,Rose,
1039847,Tribaut,Rose,Mousserande vin,77181,289.0,Champagne,Tribaut,,12.50%,Rose,
1039871,Neropasso,,Rott vin,71102,99.0,Venetien,MaBis,2013.0,13.50%,Fruktigt & Smakrikt,
1039888,Rinforzo,Primitivo,Rott vin,70510,119.0,Apulien,MGM Mondo del Vino,2014.0,15.00%,Fruktigt & Smakrikt,Primitivo.
1040104,Trifula,,Rott vin,70210,71.0,Piemonte,MGM Mondo del Vino,2014.0,13.50%,Fruktigt & Smakrikt,
1040279,Louis Bouillot,Cremant de Bourgogne Millesime Brut,Mousserande vin,77865,149.0,Bourgogne,Louis Bouillot,2014.0,11.50%,Vitt Torrt,
1040311,Grande Nuit,Sauvignon Blanc,Vitt vin,71966,79.0,Languedoc-Roussillon,Maison Fortant,2016.0,11.50%,Friskt & Fruktigt,Sauvignon blanc.
1040440,Moletto,Prosecco Treviso Extra Dry,Mousserande vin,77453,89.0,Venetien,Moletto,,11.00%,Vitt Torrt,
1040731,Lindeman's,Gentleman's Collection,Rott vin,70955,89.0,Apulien,Lindemans,2014.0,13.50%,Fruktigt & Smakrikt,
1040744,Barrels & Drums,Organic,Rott vin,70834,99.0,Rhonedalen,Enjoy Wine & Spirits,2015.0,13.50%,Kryddigt & Mustigt,
1040763,Diebolt-Vallois,Prestige Brut,Mousserande vin,7723,829.0,Champagne,Diebolt-Vallois,,12.50%,Vitt Torrt,
1040770,Catch & Release,by Huntyard Sauvignon Blanc,Vitt vin,75586,79.0,,Les Domaines Auriol,2016.0,11.00%,Friskt & Fruktigt,Sauvignon blanc.
1040773,Chablis,Bouchard Aîne & Fils,Vitt vin,75131,149.0,Bourgogne,Bouchard Aîne et Fils,2016.0,12.50%,Friskt & Fruktigt,Chardonnay.
1040801,Villa Righetti,Ripasso,Rott vin,76308,70.0,Venetien,Luigi Righetti,2014.0,14.00%,Kryddigt & Mustigt,
1041802,Pierre Olivier,Blanc de Blancs Prestige Brut,Mousserande vin,77141,79.0,,Pierre Olivier,,11.50%,Vitt Torrt,
1041814,Côte Mas,Organic Chardonnay Rural par Nature,Vitt vin,78357,100.0,Languedoc-Roussillon,Domaines Paul Mas,2014.0,13.50%,Friskt & Fruktigt,Chardonnay.
1041961,Senatore Zeffirino,,Mousserande vin,77780,131.0,,Agricola Faena,,12.00%,Vitt Torrt,
1044533,Bulles de Gironde,Rose,Mousserande vin,77799,129.0,,Domaine Leandre-Chevalier,,12.50%,Rose,
1044609,Bien Nacido Syrah X Block,Bonny Doon,Rott vin,99845,380.0,Kalifornien,Bonny Doon,2011.0,12.00%,Kryddigt & Mustigt,Syrah.
1044681,Cuvee Henry Lapierre,,Rott vin,92219,250.0,Languedoc-Roussillon,Chateau Rouquette Sur Mer,2013.0,14.00%,Fruktigt & Smakrikt,Mourvedre och syrah.
1045257,Cristian Senez,Rose Brut,Mousserande vin,77957,328.0,Champagne,Champagne Cristian Senez,,12.00%,Rose,
1045598,Medolago Albani,Rose Spumante,Mousserande vin,77874,179.0,,Medolago Albani,,12.00%,Rose,
1046035,Zuccardi Serie A,Bonarda Organic,Rott vin,6588,79.0,Cuyo,La Agricola,2016.0,13.00%,Fruktigt & Smakrikt,Bonarda.
10475,Viña Maipo,Cabernet Sauvignon,Rott vin,16510,59.0,Valle Central,Viña Maipo SpA,2016.0,12.00%,Fruktigt & Smakrikt,Cabernet sauvignon.
10480,Moët & Chandon,Grand Vintage,Mousserande vin,7545,499.0,Champagne,Moët & Chandon,2009.0,12.50%,Vitt Torrt,
1051675,Devaux D Millesime,,Mousserande vin,96072,550.0,Champagne,Champagne Devaux,2008.0,12.00%,Vitt Torrt,50% chardonnay och 50% pinot noir.
1051799,Zafrica,Game Reserve Merlot,Rott vin,12120,69.0,Western Cape,Leeuwenkuil,2016.0,14.00%,Fruktigt & Smakrikt,85% merlot och 15% malbec.
1052712,A Viot,Brut Tradition,Mousserande vin,77657,195.0,Champagne,A Viot & Fils,,12.00%,Vitt Torrt,"60% pinot noir, 30% chardonnay och 10% pinot meunier."
1052940,Moscato d'Asti,Josetta Saffirio,Vitt vin,71103,139.0,Piemonte,Josetta Saffirio,2017.0,5.50%,Sott,
