Artikelid,Varnummer
1180550,78557
1181127,72767
1181982,79573
1182261,73126
1182414,72920
1182469,2094
1182721,70962
1182724,2807
1182827,71441
1182857,75739
1183205,77479
1183407,77569
1183419,75102
1183487,95038
1183568,4108
1183574,78440
1183645,6868
1183662,2206
1183780,72600
1183943,72366
1184011,71237
1184118,77245
1184215,71538
1184272,2166
1184278,74504
1184281,73115
1184287,77978
1184310,79455
1184596,72848
1184616,99136
1184626,76811
1184656,76417
1185084,2377
1185157,74062
1185541,77725
1185595,77341
1185763,99064
1185766,90412
1185848,90444
1185941,90451
1186418,90230
1186421,77830
1186433,5355
1186436,75161
1186439,75771
1186442,90475
1186445,90481
1186448,4996
1186451,5492
1186461,5799
1186865,77841
1186871,77843
1186908,77464
1186917,72567
1187183,77847
1187369,77847
1187420,77222
1187609,74665
1188182,77848
1188202,77850
1188311,2261
1188314,90612
1188402,70869
1188470,75388
1188732,77851
1188755,76463
1188840,77952
1188893,73992
1188899,77953
1188929,91182
1189126,99052
1189160,99322
1189163,5493
1189233,7919
1189345,12501
1189348,2084
1189732,2531
1189744,90454
1189771,98026
1189791,77987
1190065,78977
1190157,6017
1190179,71105
1190213,99114
1190254,2177
1190509,97001
1190515,99407
1190715,99211
1190786,95071
1190829,95091
1190835,99305
1191011,97003
1191095,76028
1191133,73566
1191149,99374
1191236,99406
1191378,77681
1191437,78401
1191627,70131
1191887,6711
1192039,92084
1192054,99592
1192088,93011
1192094,96018
1192106,92166
1192133,79872
1192139,79253
1192142,79480
1192151,73680
1192329,77313
1192695,78583
1192726,79797
1192837,79033
1192993,4325
1193029,2380
1193048,77403
1193141,2307
1193175,73611
1193226,2303
1193304,76710
1193321,73334
1193358,79878
1193413,75943
1194102,79832
1194998,77043
1195001,72389
1195053,78299
1195089,76700
1195383,70518
1196425,77075
1196458,77110
1196473,75854
1196637,6013
1196727,2306
1196781,90615
1196805,5494
1196811,2712
1196814,2875
1196856,3509
1197104,91333
1197231,92024
1197282,79656
1197306,92246
1197356,99232
1197470,78596
1197513,99601
1198140,92375
1198143,92376
1198146,75285
1198335,92381
1198365,76816
1198460,95125
1198940,77945
1198955,76686
1199138,92389
1199356,77407
1199374,99296
1199380,78700
1199386,99298
1199389,2801
1199400,99577
1199406,92394
1199412,92404
1199415,2801
1199421,76344
1199430,76239
1199454,99668
1199460,92394
1199472,99683
1199552,76754
1199655,70040
1199713,92413
1199808,92418
1199827,92420
1200247,2289
1200265,7920
1200461,77587
1200485,99773
1200488,92431
1200491,76602
1200500,92434
1200503,99779
1200509,92435
1200512,99804
1200521,92437
1200524,95028
1200655,70369
1200662,92440
1200677,95273
1200687,92441
1200932,92445
1200969,71398
1200975,99876
1201459,99931
1201496,99937
1201527,99940
1201530,99473
1201550,99573
1201573,99575
1201622,99751
1201646,77268
1201694,99843
1201704,99865
1201713,74476
1201762,99980
1201816,99066
1202166,99684
1202205,99783
1202208,99981
1202220,99356
1202223,75608
1202649,78594
1202662,76324
1202712,31692
1202735,95708
1203084,90268
1203892,77044
1203997,83295
1204328,76636
1204329,74300
1204330,76614
1204331,77012
1204332,73077
1204333,72750
1204345,77946
1204346,72272
1204347,74888
1204869,78995
1204871,77073
1205124,4950
1205196,73507
1205199,77306
1205380,77704
1205383,77389
1205389,77210
1205402,70360
1206795,95544
1210992,98012
1211081,98013
1216709,77424
1216714,74189
12231,7418
12237,7706
1225808,73066
1225809,70589
12282,4087
12283,4087
1232604,73415
1232605,71744
1233182,77286
1233187,78620
1233190,75294
1233195,73322
12483,12615
12582,22310
12602,16554
12658,12520
12730,12169
13336,22652
13359,12920
13473,12808
13541,22350
13548,6792
1360,2037
13725,7424
13726,7418
1388,2066
1398,2075
1399,2075
1401,2077
14024,12670
14025,2780
14144,7649
1419435,78300
1419686,95514
1419723,94811
1420038,94109
1420102,99744
1420145,77486
1420147,76151
1420161,91208
1421659,93101
1432,2106
1433,2106
14540,12755
14663,22800
1469994,6450
1470158,6450
1470222,2350
1470227,6731
1470324,73901
1470325,77332
1470326,77994
1470327,72411
14719,7469
14797,16320
14818,2686
1483,2160
14850,5582
14872,12244
1495,2173
1499,2176
1501951,76060
1509,2187
15158,4160
1517298,90107
1517336,97311
1517384,98807
1517435,96908
15203,5587
15204,5588
15214,7686
15247,7602
15267,16676
15306,87429
15310,3958
15359,7564
15367,4184
15469,2344
15535,12797
15536,12798
15601,12347
15603,12378
15671,6001
1576,2245
1578155,96670
15818,22662
162237,80972
1624,2300
1630,2305
163432,12366
1636,2310
1637,2310
1641626,97765
1642034,94330
1642042,97569
1642059,96881
1642060,98681
1642077,93857
1642082,95621
1642086,78924
164269,2060
164272,2010
16434,7422
1643564,95978
1643582,96263
1643597,96351
16456,7319
16465,12284
164670,2775
16471,6045
164943,2773
165264,2705
165297,2727
165487,2430
165557,81173
16594,16434
166098,2799
166504,12363
166635,7332
16666,5595
166663,7867
16852,4115
16864,2345
1687391,96373
1687792,94287
1687842,90978
1687846,99905
1687882,93745
1687883,94890
1687893,92933
16887,7530
16899,22674
16909,6369
169457,81914
1702491,99964
1702496,91008
1702787,93127
1702831,91631
1702833,98787
1702846,93830
1702851,99623
1702852,92932
1702854,99433
1702888,99442
1702902,74657
1702933,99783
1702946,96689
170357,2708
17049,22679
17051,22055
170871,83192
171164,83933
171422,2612
171966,81978
172009,81985
1721,2410
1722,2410
17264,2903
17266,6823
1731,2419
17474,87306
1748,2438
17580,5135
1767,2459
17697,26001
17778,22620
1784701,3575
1784777,99824
180702,87954
18132,87518
18133,87518
18156,2907
18157,6310
1818491,99582
1818867,34151
1825,2525
182506,6942
182556,7454
184220,88250
184648,88283
184651,88291
1851,2554
1851226,39936
1851263,33758
1851520,38629
1851620,76191
1851632,77209
185336,7500
18555,5765
1869,2573
1870,2574
188637,16446
188962,6156
1890,2596
189567,5244
189886,81287
190680,12000
190840,6853
1913,2620
191433,5284
19153,2108
19164,2734
19186,6998
192402,6018
192685,7179
192693,7306
193051,81254
1935,2639
193689,32364
19388,2211
1965,2670
1966,2670
1967900,99132
1967918,31716
1968143,99484
1968350,98158
1968375,94322
1968492,91594
1968506,92444
19707,22662
197241,81438
1975,2678
197581,81422
197584,81466
1981769,94293
1981779,75251
1981781,79587
1982,2685
1982037,92683
1982042,95806
1982053,93051
1982059,90831
1983,2686
19842,2270
198502,7451
198535,6139
198951,81530
199247,6202
199504,22257
19982,7350
19983,7351
19985,4136
20026,5621
20034,5003
2004198,2276
2004212,2081
2005,2710
2006,2710
200712,81707
20175,87327
20176,87327
20189,6519
201919,81659
201922,7555
20218,6532
20299,5123
20455,2190
204751,81859
20549,2075
20550,2962
205747,12157
20580,16676
206135,81912
206341,5327
207226,7398
2083,2786
208479,82078
208820,6312
20891,7359
209119,6581
209122,6581
209319,2026
209323,2741
209373,16015
209933,6012
210839,82169
210851,6597
211958,82190
21349,6338
21363,2069
213922,6449
213931,6451
214026,7592
214659,2811
214662,2811
215161,82117
21531,7496
21532,2066
215586,7701
215598,5328
215608,5329
215611,82172
215617,12300
215633,82124
21604,73445
216120,82260
216123,82267
216549,7218
216593,2415
21775,3958
217790,2566
217799,7350
217966,7688
2191,2899
2192,2899
21947,7230
2195,2903
219538,83007
21955,2386
22021,87340
220779,5123
221514,2211
22289,12797
22290,12798
223331,2705
224399,5798
22520,2517
22525,2233
2253,2962
2254,2962
225976,7649
226514,97379
226526,97379
22681,22438
2276598,70391
2276637,77642
2276872,96691
2277140,2473
2277165,2971
2277177,2207
2277196,2668
228627,81232
2287554,6545
2287612,2465
2287636,74220
2287637,75745
229509,82546
229596,82547
229748,82531
229759,82534
23089,87341
23219,5844
23248,5648
2325822,99902
2325836,99600
2325885,6144
2325944,2375
2326036,7141
2326069,2993
23302,7486
23318,7487
2334879,2665
2334895,77021
2334896,77093
2334905,77588
2334907,77616
2334916,77369
2335137,96336
2335213,96609
2335237,2735
2335294,93195
2335300,98943
2335339,2732
2335340,73319
2335341,72905
2335342,71130
2335344,94914
233860,81307
235405,82654
235439,82665
235459,82622
235483,82634
235847,4586
235878,2322
235888,2355
236050,2304
237553,82623
238075,7351
2388687,5726
2388713,2050
2388715,2969
2388741,2257
2388820,99939
2388838,99770
2388847,99494
2388861,93740
2388870,91413
239316,2085
239328,2085
239346,6612
239349,6649
2407862,95872
2407928,99956
2407989,95102
2408081,6493
240940,4200
241536,7405
241539,5460
241603,3925
241991,2056
242022,7408
24248,32364
24251,32367
242922,7567
2430075,78555
2430076,70576
2430077,72387
2430819,76067
243476,22335
243584,22349
243594,2204
24366,6498
243661,2227
244764,2005
24527,6257
246080,7425
24640,5688
246863,2723
246880,2723
24717,5850
248387,22280
24872,12038
24912,6374
249410,82872
250305,81727
25032,12355
25077,6942
251570,2322
2515821,75083
2515822,74493
252173,87452
252234,87135
25269,16510
252849,6685
252862,3083
254876,83179
25491,3550
25513,2032
25515,7032
256739,83116
256950,6253
25751,6656
257739,32152
257834,83230
258415,83253
25924,22328
261014,83531
261017,83531
262243,83638
262246,83643
262252,83643
262261,83643
263004,83746
2635148,5526
2635192,4980
2635228,5837
2635233,5837
2635242,3738
2635304,95685
2635320,95981
2635325,95775
2635339,74475
2635344,77405
263560,83757
263573,83762
263803,32452
26419,84192
2644856,78909
2644863,79074
26473,42302
2672813,79047
2672821,77652
2672822,77465
2672843,74815
2673233,31721
26838,7359
268395,6403
268546,6505
268578,6506
2696678,73175
2696686,73387
2696694,31727
270787,98004
271009,5882
27150,2788
271665,2262
271700,2365
272049,2266
272052,12343
272067,12343
272080,22300
272113,7685
272117,2737
272120,2696
272731,32452
272743,12357
273766,82139
273772,82139
27485,12105
2760,4151
27602,87531
27603,87531
27608,2796
276166,22257
276269,2800
276439,7686
27657,3570
279890,89419
280100,12502
28110,7750
2817071,81501
2817072,76159
28208,22735
282145,86667
283382,99455
28370,82817
28402,22139
2847905,31758
2848015,31761
2848045,77744
2848046,79390
28521,6427
285394,82266
285604,84466
286229,82232
2878265,95663
2878526,96408
2878611,96155
2878738,4647
2878748,4648
2878750,2792
2878781,2329
2878785,95002
2878812,2443
2878821,2354
2878822,7763
2878837,2961
2878850,2744
28811,22350
289256,89426
29110,12418
292034,87508
2922,5042
29242,32410
292433,84003
29244,32412
292596,89471
292715,82772
293194,82164
294776,6556
294779,6340
2962,5106
29719,7557
2974,5123
298638,7597
299029,6690
299055,6694
299065,2560
299122,2726
299436,3577
300131,2393
300808,3690
300827,2198
300846,2180
300858,2153
300870,7709
30144,32417
30148,22320
30272,22095
3033,5408
3034,5408
3037,5421
3042,5475
3042043,98558
3042084,96076
3042345,99004
3042346,96854
3042387,95043
3043,5475
30584,5521
306237,3790
3066181,2534
3066215,70838
3066267,2396
3091,5637
3092,5637
309297,74077
30956,84299
3104,5649
31049,84452
312420,7500
312695,74145
312728,89625
313041,74155
313397,77363
31644,12173
316779,7425
316890,74222
316984,2740
318062,74225
318085,74226
31888,32364
31925,84596
319716,6031
3201,6001
320939,74294
3218,6018
3220500,4261
3222178,77651
3222179,77651
3222371,3315
3222420,4500
3223883,4500
3223884,90007
3223891,3705
3225254,92676
323457,74408
323467,74409
323500,74411
323512,74412
323655,74416
324034,32153
3244222,77130
3244223,71114
3244227,4649
3244487,98955
325466,2369
326380,2072
326598,6091
326747,74480
32715,42334
32777,12085
32860,7500
32862,7500
329065,7713
329995,74538
331238,74558
331275,74559
3316340,99153
3316705,99154
332332,74598
3328553,94905
3330212,90925
3330408,96372
3330413,91393
334171,74646
334392,6504
335527,6697
33580,6671
335819,3814
3361128,95062
3361167,95066
3361246,95069
3361296,76422
3361317,96058
336207,7687
3370324,98038
3370345,95116
3370374,96065
3370392,96066
3370397,98064
3370409,73418
3370413,75532
338407,2523
338519,2901
33861,12002
33862,2345
338734,7203
338837,12679
3388400,77894
3388402,74396
3388403,77858
339019,16018
339098,75009
339649,2718
339773,32155
3406757,2733
34105,22139
342120,74776
342957,76055
343028,76056
34364,32205
34443,2518
3456,6311
345768,76062
345774,16445
34582,4197
346014,76063
34666,4196
348391,7686
3485791,76968
3485802,77567
34981,12905
34990,12324
349999,74996
3508224,77438
3508261,96013
3508474,96067
350915,7500
351112,2410
351393,7450
3514,6369
3527835,96071
3527873,96073
3527882,95136
3527939,96077
3527940,90098
3527964,90102
353081,76073
35329,12507
35420,85284
354334,75039
3551383,95157
3557103,78506
3570531,79478
3570534,31787
3570536,31786
3570545,76757
3570546,76803
3570547,71631
3570551,75527
3570581,31789
35720,16443
35742,16446
3585312,78332
3585313,78320
358700,5552
35936,85391
360610,76079
36202,12094
362433,75207
363413,6895
363448,6192
36345,12103
36357,2800
364187,6591
364193,6620
364273,2051
364276,2062
364279,2062
3646776,70877
365516,75309
366416,6010
366516,5333
366536,5334
366629,77042
36728,6873
367855,4131
367870,6622
367910,2021
367916,7417
368117,12126
368182,2126
368236,77047
368246,2565
368629,12000
368787,4587
369865,6266
37038,26554
370637,6267
370820,2825
371294,76087
37145,16510
37146,6671
37366,85701
373939,2120
373942,2120
374079,12438
374816,75648
374867,22653
374883,22654
37500,16457
37503,32444
375336,77069
375456,76089
37601,85729
3767,6657
376732,77070
376807,75717
376813,76091
376916,77071
377121,75719
377155,6274
377171,75724
378388,75751
37841,16460
37905,7553
381476,77077
3815543,77428
3815584,31805
3815613,99142
3815689,77752
381689,2194
38233,22257
38381,85960
38385,85960
384279,77078
38507,12103
38624,22273
38733,22283
3877,6792
387945,77086
38894,86036
39039,16394
390909,6520
3914911,71126
3914921,99155
391514,2034
391517,6518
391786,6275
3920889,6214
3920917,77971
3920918,77441
3920926,77561
3920927,77331
3920928,77951
3920954,95093
392647,75951
392653,75034
392663,73051
3927,7369
3939,7410
3940,7410
39407,32008
3945,7415
3948,7418
3951,7421
3952,7421
39521,32452
3953,7421
3954,7422
3955,7424
395698,2214
395744,5824
3959,7428
3961,7430
3962,7430
396891,2295
3971,7494
3972,7495
3973,7495
3974,7500
3977,7518
3978,7518
3979,7518
39809,22297
3981,7543
3985,7548
3986,7549
39868,6670
398730,5337
3988,7590
398931,5921
398937,7776
3992170,73684
3992266,90287
3992510,70093
3992513,78523
3992523,73201
3992920,90292
3992980,90306
3993254,74871
3993256,79813
3993257,72735
3993262,70300
3993267,90318
3993427,90325
3993501,90332
3993553,90348
3993868,90393
3994,7600
3994215,99158
3994349,3992
3994774,4501
3994783,2170
3994784,74308
3994795,2170
3994825,2103
3994865,5380
3994883,5370
3994945,71461
3994946,77103
3994949,78142
3994950,77258
3997920,75840
3998,7602
3999435,7921
3999736,99164
3999784,78543
3999800,78543
3999802,75391
3999807,78021
3999811,74934
3999821,73379
39999,22299
40028,7579
400446,73145
400735,5421
400751,7454
400805,29002
401895,8119
40220,7787
40234,22467
4027,7706
4028,7706
4032,7710
4033,7711
4034,7711
4035,7711
404092,7471
404116,7471
405174,7777
405186,7777
4055,7735
4058,7738
4059,7738
4060,7738
40617,7598
4064,7743
4065,7744
406812,5588
4072,7751
4073,7751
40738,32224
4074,7751
40814,5810
408205,7709
4082519,90410
4082525,99199
4082538,99210
4082569,99236
4082698,99257
4082726,99018
4082758,90423
4082770,90424
4082809,78396
4082813,79167
4082818,72607
4082889,99278
4082961,90441
40866,86883
408939,5338
409402,77133
40945,16381
409849,92203
409855,92204
40986,22424
4099586,72497
4099828,90445
4100233,90578
4100256,78586
4100290,90588
4100390,79507
4100391,75273
4100466,2124
4101993,2223
4102071,2843
4102158,78331
4102188,2090
4102291,2107
4102308,2025
4102332,90611
4102346,70380
4102350,75914
4102351,74210
4104245,2027
4104313,2013
4104346,2118
4104455,70812
4104458,77600
4104472,95090
41077,2275
411624,73342
411640,73343
412426,77136
412568,77137
412928,77138
413373,77139
41490,86996
41512,87327
415308,7701
415337,77144
41538,87077
4164260,75432
4164309,74147
4164424,2661
4164455,2029
416509,2035
4165929,2067
4165973,73918
4165980,73651
4165984,77963
4165985,76458
416660,77150
416670,77151
417412,2001
41794,32228
41807,32431
41808,7055
418361,73593
418796,77153
41888,22409
418908,73626
419256,77159
419651,73650
41989,87127
42014,32472
42093,22562
42115,87135
42116,7329
42136,32229
422161,73685
423021,77167
423414,81466
42360,7688
424885,73768
4251082,78317
4251110,77098
4251131,73794
4251138,72138
4251142,77488
425452,6523
42571,16426
42572,6376
42573,6226
426076,6290
426283,6517
426293,6539
4263146,6831
4263216,6251
4263256,7922
4263261,6263
4263276,5496
4263469,94925
4263503,90065
427716,6552
428381,75520
428457,75524
428626,7867
428987,6367
429005,7864
4295751,95153
4295771,95177
429927,7779
430019,6295
430343,77188
430684,75501
43074,87253
4310616,7923
4311027,2814
4311116,90231
4311157,96081
4311225,90331
4311243,96082
4311244,90363
4311254,2059
4311260,90479
43116,87282
431239,6522
431326,2009
43233,12808
432918,6297
432944,7865
432947,7865
433127,77332
4331758,75091
4332153,90668
4332155,2156
4332177,2063
4332212,2183
4332236,2897
433600,6381
433676,2770
4336963,77314
4338869,95187
4338890,95201
4339012,2041
4339042,95204
4339063,96083
4339086,95210
4339142,95212
4339148,96086
4339158,96087
4339163,95214
4339188,99099
434053,2478
434548,6384
434561,5340
434635,5345
434671,4130
435323,7866
43560,32417
43561,32417
43618,5899
